Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Not Polk,54,0.0008 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Not Polk,51.6,0.3913 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Not Polk,31.1,0.2440 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Not Polk,36.6,0.8792 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Not Polk,40.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Not Polk,66,0.0020 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Not Polk,80.4,0.1246 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Not Polk,21.4,0.0052 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Not Polk,37.7,0.7268 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Not Polk,34.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Not Polk,44.8,0.1155 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Not Polk,27,0.9540 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Not Polk,38.1,0.6676 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Not Polk,35.5,0.9322 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Polk County,43.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Polk County,35.4,0.3359 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Polk County,61.5,0.6414 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Polk County,23.9,0.0862 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Polk County,29.6,0.2930 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Polk County,72.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Polk County,69.9,0.9626 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Polk County,133.6,0.3498 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Polk County,32.9,0.1003 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Polk County,22.5,0.0465 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Polk County,24.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Polk County,8.2,0.0373 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Polk County,16,0.6232 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Polk County,37.3,0.4779 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Polk County,43.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Polk County,27.1,0.0331 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Polk County,0,0.3691 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Polk County,16,0.0062 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Polk County,35.9,0.5585 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Polk County,70.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Polk County,38.8,0.0491 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Polk County,0,0.5230 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Polk County,31.9,0.0700 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Polk County,37.6,0.1409 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Polk County,21.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Polk County,22,1.0000 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Polk County,2.9,0.0312 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Polk County,35,0.2944 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Polk County,41.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Polk County,53.3,0.1753 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Polk County,94.4,0.4424 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Polk County,12.2,0.0004 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Polk County,11,0.0005 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Polk County,66.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Polk County,52.6,0.3792 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Polk County,0,0.7613 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Polk County,12.2,0.0001 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Polk County,10.2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Polk County,22.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Polk County,50.9,0.0032 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Polk County,155.4,0.0751 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Polk County,11.7,0.2838 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Polk County,11.4,0.3204 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Polk County,45,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Polk County,55.8,0.2252 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Polk County,221.2,0.0149 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Polk County,22.3,0.0103 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Polk County,22.9,0.0010 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Polk County,70.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Polk County,89.8,0.3422 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Polk County,316.4,0.0901 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Polk County,48.6,0.2417 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Polk County,35.2,0.0067 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Polk County,25.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Polk County,30.9,0.5450 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Polk County,157.8,0.1141 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Polk County,1.5,0.0003 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Polk County,10.9,0.0440 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Not Polk,40.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Not Polk,37.8,0.7424 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Not Polk,32.1,0.8802 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Not Polk,14.9,0.0084 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Urinary System,Not Polk,23.3,0.0293 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Not Polk,65,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Not Polk,52.5,0.3790 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Not Polk,31.6,0.7036 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Not Polk,21.5,0.0375 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Urinary System,Not Polk,28.4,0.0088 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Not Polk,21.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Not Polk,27.2,0.4564 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Not Polk,26.6,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Not Polk,11.3,0.4034 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Urinary System,Not Polk,17.4,0.6712 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Not Polk,41.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Not Polk,46.9,0.4111 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Not Polk,80.3,0.3737 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Not Polk,20,0.0574 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Urinary System,Not Polk,23.3,0.0069 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Not Polk,66.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Not Polk,72.2,0.6884 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Not Polk,88,0.8097 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Not Polk,35.8,0.2113 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Urinary System,Not Polk,43.6,0.1160 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Not Polk,22.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Not Polk,28.2,0.3748 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Not Polk,79.8,0.4034 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Not Polk,10.1,0.2069 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Urinary System,Not Polk,8.5,0.0133 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Not Polk,41.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Not Polk,44.8,0.6102 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Not Polk,49.6,0.7340 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Not Polk,18.8,0.0013 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Urinary System,Not Polk,39.4,0.7225 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Not Polk,66.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Not Polk,57.4,0.4044 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Not Polk,79.6,0.8170 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Not Polk,30.3,0.0282 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Urinary System,Not Polk,58.8,0.5326 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Not Polk,21.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Not Polk,34.9,0.0281 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Not Polk,24.9,0.9859 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Not Polk,12.2,0.1524 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Urinary System,Not Polk,25,0.6652 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Not Polk,43.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Not Polk,40.5,0.6166 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Not Polk,64.4,0.2100 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Not Polk,8.2,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Urinary System,Not Polk,23.1,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Not Polk,67,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Not Polk,49.7,0.0433 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Not Polk,104.9,0.2166 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Not Polk,12.7,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Urinary System,Not Polk,35.3,0.0001 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Not Polk,23.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Not Polk,30.4,0.1903 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Not Polk,28.9,0.9145 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Not Polk,5.1,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Urinary System,Not Polk,11.8,0.0066 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,7.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,6,0.8490 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,13.1,0.8594 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,5.5,0.9962 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,2.6,0.4122 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,9.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,4.5,0.5455 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,29.9,0.5477 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,0,0.4543 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,2.9,0.6704 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,5.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,7.1,0.8687 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,11.2,0.3983 ,0,API
